fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 193740	-0.07616867307419	3633	744	7	5	10004000	89
20220517 193826	-0.704899427693235	2558	704	16	5	10606000	90
20220517 193907	-0.745516652570811	3120	660	12	5	10718000	91
20220517 193945	-0.159122134943901	3639	868	17	5	10044000	92
20220517 194029	-0.417831140395252	3279	529	12	5	10334000	93
20220517 194108	-0.391401433390605	2750	943	8	5	10535000	94
20220517 194151	-0.989155737619684	2037	660	16	5	10561000	95
20220517 194237	-0.968980026422688	2516	523	20	5	10294000	96
20220517 194319	-0.972731690642214	3335	689	17	5	10334000	97
20220517 194402	-0.598194317728861	2934	690	14	5	10666000	98
20220517 194442	-0.331692911351378	2968	691	17	5	10666000	99
20220517 194523	-0.646181204992044	3201	666	13	5	10718000	100
20220517 194604	-0.141329618860684	2665	1045	13	5	10426000	101
20220517 194639	-0.460257115862854	2496	1032	7	5	10419000	102
20220517 194710	-0.999772658992791	7979	1117	7	5	7865000	103
20220517 194747	-0.0681604484362547	903	447	7	5	10350000	104
20220517 194827	-0.306753008035244	2758	863	15	5	10342000	105
20220517 194855	-0.767994886883475	2424	654	7	5	10810000	106
20220517 194930	-0.478250501485116	2862	677	20	5	10574000	107
20220517 195005	-0.762787745394196	2730	731	17	5	10439000	108
20220517 195036	-0.9744986141085	3844	1914	20	5	9217000	109
20220517 195113	-0.364880992689687	3169	414	19	5	10611000	110
20220517 195143	-0.482283919996992	3955	852	9	5	10055000	111
20220517 195217	-0.386949210761794	1745	838	10	5	9887000	112
20220517 195244	-0.429216192379322	3082	687	7	5	10574000	113
20220517 195317	-0.323330023992085	3047	855	7	5	10342000	114
20220517 195346	-0.965339207439542	1722	856	7	5	9657000	115
20220517 195415	-0.866060575794532	2937	631	7	5	10574000	116
